ts_utc;kind;side;price_hint;range_id;message_id;confidence
2025-11-27T09:20:23Z;range_close;;;2025-11-27-2;14784;
2025-11-27T09:21:23Z;range_open;BUY;4151.0;2025-11-27-3;14785;0.90
2025-11-27T09:29:12Z;range_close;;;2025-11-27-3;14792;
2025-11-27T09:53:35Z;range_open;BUY;4159.0;2025-11-27-4;14794;0.90
2025-11-27T10:30:14Z;range_close;;;2025-11-27-4;14802;
2025-11-27T11:06:06Z;range_open;BUY;4156.0;2025-11-27-5;14803;0.90
2025-11-27T12:00:54Z;range_close;;;2025-11-27-5;14806;
2025-11-27T13:00:56Z;range_open;BUY;4152.0;2025-11-27-6;14808;0.90
2025-11-27T13:39:02Z;range_close;;;2025-11-27-6;14821;
2025-11-28T08:21:03Z;range_open;BUY;4162.0;2025-11-28-1;14828;0.90
2025-11-28T11:09:55Z;range_close;;;2025-11-28-1;14835;
2025-11-28T11:27:58Z;range_open;BUY;4177.0;2025-11-28-2;14837;0.90
2025-11-28T11:49:35Z;range_close;;;2025-11-28-2;14845;
2025-12-01T07:56:34Z;range_open;BUY;4243.0;2025-12-01-1;14852;0.90
2025-12-01T08:36:49Z;range_close;;;2025-12-01-1;14854;
2025-12-01T08:58:13Z;range_open;BUY;4243.0;2025-12-01-2;14856;0.90
2025-12-01T12:54:54Z;range_close;;;2025-12-01-2;14862;
2025-12-01T13:04:00Z;range_open;BUY;4251.0;2025-12-01-3;14868;0.90
2025-12-01T13:51:10Z;range_close;;;2025-12-01-3;14875;
